evt_block_time,evt_tx_hash,contract_address,collection_address,borrower,lender,loanAmountArrange,interestRate,auctionDuration,tokenId
2023-05-09 09:52:47.000 UTC,0x08fcbb6bba7c960cf88caaa8ca772195178ca44d56772a944a7b0a65625082d1,0x29469395eaf6f95920e59f858042f0e28d98a20b,Azuki,0x8f4eaeeb5c7113ceb4f3731db7a10933a697414e,0x20251a0505ead51fb2c6ce5c1f399924ea068322,12.42,0,9000,3769
2023-05-09 09:51:59.000 UTC,0x75893dbea6d301f8c951d185d487904e25845b89e39c2b61e5e9a2e14b5d91ac,0x29469395eaf6f95920e59f858042f0e28d98a20b,Azuki,0x6227f2886bf1c157c2320d67f9445667ce0c0bc5,0xdaed2ecb1a732f20b36c52bb742a0b61e4baebab,13.01,0.05,9000,389
2023-05-09 09:36:47.000 UTC,0x04ab6ae595eb39c302b78b71cb5423b97480fa577da3c9bee51c86aadd00e455,0x29469395eaf6f95920e59f858042f0e28d98a20b,Azuki,0x97c7d94d01bcbc41b80ef7cc8c5bebc3d11c6a20,0xdaed2ecb1a732f20b36c52bb742a0b61e4baebab,12.93,0.05,9000,4334
2023-05-09 08:29:23.000 UTC,0x59bf49bf7dc28fa8f8ae02ce04fbffcbcd9d8314b7e591d80d2b90b5477d8cf9,0x29469395eaf6f95920e59f858042f0e28d98a20b,Azuki,0x77e3e957082ca648c1c5b0f3e6aec00ab1245186,0xb06114b9997a4a16a078c4107d8eba74a869be4e,14,0.88,9000,316
2023-05-09 10:02:47.000 UTC,0xbcebf58749ed3755026ff93e1810b334e122c3cd7e6de3e9efad7e63440351d8,0x29469395eaf6f95920e59f858042f0e28d98a20b,Azuki,0x97c7d94d01bcbc41b80ef7cc8c5bebc3d11c6a20,0xdaed2ecb1a732f20b36c52bb742a0b61e4baebab,12.97,0.05,9000,9378
2023-05-09 10:02:23.000 UTC,0x3ddff3787f8d5d4efe1c290c54ee71289ddbe752aa757ef340b6a607f527b186,0x29469395eaf6f95920e59f858042f0e28d98a20b,Azuki,0xf2450d1e606117ed6f149a63e908149e6bfe6355,0xdaed2ecb1a732f20b36c52bb742a0b61e4baebab,13,0.05,9000,7646
2023-05-09 09:16:11.000 UTC,0x9eeb8927a3798ef7f3296b631f1e85258c6d9920df1bb15060502b429e463ace,0x29469395eaf6f95920e59f858042f0e28d98a20b,Azuki,0xba1ba61ff159422bcb07f78017186624e94e6936,0x20251a0505ead51fb2c6ce5c1f399924ea068322,12.42,0,9000,3386
2023-05-09 10:00:23.000 UTC,0x4475b5e2edb95805bb9f5a264bb9b3d4416fa71409089878229d95d4e2075a08,0x29469395eaf6f95920e59f858042f0e28d98a20b,Azuki,0x97c7d94d01bcbc41b80ef7cc8c5bebc3d11c6a20,0xdaed2ecb1a732f20b36c52bb742a0b61e4baebab,12.88,0.05,9000,7073
2023-05-09 09:21:23.000 UTC,0x5fa18e77e6fd998fadd041c6563a4ebbb1b945a3ab51422123150e36019e3ac5,0x29469395eaf6f95920e59f858042f0e28d98a20b,Azuki,0x97c7d94d01bcbc41b80ef7cc8c5bebc3d11c6a20,0xef64327f69973c1d9c2c20ce13d8b08889a47be0,12.92,0,9000,6423
2023-05-09 09:16:23.000 UTC,0xd49d5982aa9b96dedd316f94edc3f44e472f8c190d8e69b2ac5396964e8bc905,0x29469395eaf6f95920e59f858042f0e28d98a20b,Azuki,0x385ce35599ae5e6f0eaf0f69841fffa9f41acdd5,0x5f1ee29361206f1a129e808736f11598356c6031,12.15,0,9000,2136
2023-05-09 09:16:23.000 UTC,0xfb93bdff26408247c80493734f7d1f2f4a6e2f1e222ad539ca8430f67446ca71,0x29469395eaf6f95920e59f858042f0e28d98a20b,Azuki,0x77e3e957082ca648c1c5b0f3e6aec00ab1245186,0xe2eaf182d8254b17883b9448f2f34893e2b488e6,13.39,0.7,9000,1918
